"","r1_hat","d1_hat","r2_hat","d2_hat","is_correct","error1","error2","error3"
"1",3,0,2,2,1,0.948114570821513,0.397760346032827,0.367076820896952
"2",3,0,2,2,1,0.978077990853314,0.385860797721418,0.348331611669178
"3",3,0,2,2,1,0.917146492450339,0.3941646207332,0.324494591086902
"4",3,0,2,2,1,0.867126497401549,0.350457884158986,0.305458552452086
"5",3,0,2,2,1,1.18074137599701,0.517623044129686,0.44729214184724
"6",3,0,2,2,1,1.11620964919593,0.471244277997254,0.417834362216682
"7",3,0,2,2,1,0.922581166649821,0.374558790842675,0.327698505382213
"8",3,0,2,2,1,0.990593083520741,0.3968770605086,0.356953472634132
"9",3,0,2,2,1,1.00300522540582,0.397139439304079,0.375116814821382
"10",3,0,2,2,1,0.957738913532531,0.394348876349496,0.349039583199703
"11",3,0,2,2,1,0.89720505186193,0.386281967971319,0.351675841803817
"12",3,0,2,2,1,0.899432734359346,0.380281904602336,0.331056402493563
"13",3,0,2,2,1,0.790871874765411,0.337489933964187,0.299364936487011
"14",3,0,2,2,1,0.867403708861495,0.357410038217205,0.31883402179063
"15",3,0,2,2,1,1.04569718440415,0.402131614782036,0.372913396318198
"16",3,0,2,2,1,0.87136593558475,0.356149927858608,0.309223088897473
"17",3,0,2,2,1,1.08291209819963,0.450937194037858,0.406833072461191
"18",3,0,2,2,1,0.990490249911656,0.414138058032715,0.374940601417837
"19",3,0,2,2,1,0.977555545022725,0.388968871205086,0.358108688452408
"20",3,0,2,2,1,0.984667041776864,0.413861690360681,0.379722367284641
"21",3,0,2,2,1,0.930196547227658,0.398583755990089,0.344305648336871
"22",3,0,2,2,1,1.00810775867932,0.43941297067348,0.391376105716089
"23",3,0,2,2,1,0.90614995492538,0.400556958513332,0.344441842254042
"24",3,0,2,2,1,0.977019492020192,0.435187186783863,0.39040148088698
"25",3,0,2,2,1,0.933510534156702,0.413437629557807,0.367611346244532
"26",3,0,2,2,1,0.824228322670458,0.338917176268401,0.299881754830535
"27",3,0,2,2,1,0.979742740325652,0.419061197747252,0.36859745064882
"28",3,0,2,2,1,1.18631042334662,0.525161788538071,0.490442737919382
"29",3,0,2,2,1,0.935288351906566,0.393439201398162,0.322985799247497
"30",3,0,2,2,1,0.865126847380223,0.347158283331452,0.31311517797521
