"","r1_hat","d1_hat","r2_hat","d2_hat","is_correct","error1","error2","error3"
"1",3,0,2,1,1,0.854484708187619,0.363384413668415,0.340328453690527
"2",3,0,2,1,1,0.92503769325406,0.426425356550183,0.412312890674618
"3",3,0,2,1,1,0.89752309892317,0.401620312934029,0.377002901308191
"4",3,0,2,1,1,0.815027455263971,0.346908055420979,0.332864512951435
"5",3,0,2,1,1,0.81859001693609,0.357406515768634,0.336711293945913
"6",3,0,2,1,1,0.9303797174631,0.402227464504245,0.387473456802312
"7",3,0,2,1,1,0.744261586797486,0.316414630818044,0.303995851435987
"8",3,0,2,1,1,0.937207701726987,0.424164284234227,0.400012514631283
"9",3,0,2,1,1,0.771968383912167,0.319533980455996,0.304598121646715
"10",3,0,2,1,1,0.873366001018832,0.361114460212365,0.341385111304551
"11",3,0,2,1,1,0.81260372280651,0.352674785946782,0.324118591268264
"12",3,0,2,1,1,0.825513441240005,0.34384472460855,0.324065102966812
"13",3,0,2,1,1,0.860503323120115,0.363939055898484,0.345620960693115
"14",3,0,2,1,1,0.870995453647302,0.384886461307642,0.372275561882476
"15",3,0,2,1,1,0.873741047875534,0.375243387275526,0.358533463881843
"16",3,0,2,1,1,0.83172889239046,0.33914522947531,0.328967002006415
"17",3,0,2,1,1,0.854564856388135,0.375059107690446,0.349984374892879
"18",3,0,2,1,1,0.81816472971156,0.369092480456312,0.347682586056651
"19",3,0,2,1,1,0.921439652194262,0.389691401102964,0.378237323776347
"20",3,0,2,1,1,0.896180302391556,0.372415946530596,0.360342963469786
"21",3,0,2,1,1,0.8197064374143,0.363950831071714,0.342835555245248
"22",3,0,2,1,1,1.00227491342248,0.435090601224913,0.420226532854148
"23",3,0,2,1,1,0.816589517281819,0.379295418476453,0.367579808722115
"24",3,0,2,1,1,0.805893570792718,0.333696644456212,0.324373226541081
"25",3,0,2,1,1,0.830309990002279,0.336933769178793,0.326056758841726
"26",3,0,2,1,1,0.81805184454701,0.325518808934543,0.315091205286573
"27",3,0,2,1,1,0.967302901884572,0.400532871768173,0.373386664776322
"28",3,0,2,1,1,0.747307455319467,0.296205235490442,0.272842675269357
"29",3,0,2,1,1,0.946541348342826,0.403391421373119,0.390090946821735
"30",3,0,2,1,1,0.86287868169625,0.361013104438672,0.33271185525601
"31",3,0,2,1,1,0.956765737190775,0.409235376246696,0.393222255950138
"32",3,0,2,1,1,0.830534440028534,0.349117773975153,0.328471388610172
"33",3,0,2,1,1,0.889537402034081,0.368426829372925,0.340469612341429
"34",3,0,2,1,1,0.916605009902289,0.378858524442661,0.36406238265716
"35",3,0,2,1,1,0.850085550255776,0.373569611287341,0.367065853414265
"36",3,0,2,1,1,0.83097672758766,0.341314826065037,0.322053801269567
"37",3,0,2,1,1,0.775578493698341,0.319843014305252,0.302296706933653
"38",3,0,2,1,1,0.795977687680069,0.325861637934874,0.309799728164606
"39",3,0,2,1,1,0.843443857862938,0.36376600917616,0.351269992786901
"40",3,0,2,1,1,0.948713595207125,0.396679456404243,0.3775142697408
"41",3,0,2,1,1,0.90975077074808,0.366023937988262,0.35606318026449
"42",3,0,2,1,1,0.880698386764796,0.388783703535598,0.372185938596135
"43",3,0,2,1,1,0.730878932928228,0.306344523719388,0.285120746849026
"44",3,0,2,1,1,0.851490072894949,0.376846810813587,0.365950433057168
"45",3,0,2,1,1,0.88123413675492,0.37019029683781,0.3495836883284
"46",3,0,2,1,1,0.78313858282036,0.318721621467875,0.305435899244911
"47",3,0,2,1,1,0.835476461287801,0.328859756488463,0.301564939443425
"48",3,0,2,1,1,0.806132020181723,0.36059039620557,0.339731109104051
"49",3,0,2,1,1,0.843672866756793,0.363417276292708,0.352377239165587
"50",3,0,2,1,1,0.813836718711765,0.341873479450645,0.323342268331501
"51",3,0,2,1,1,0.829419274186668,0.377586111567767,0.353769851211534
"52",3,0,2,1,1,0.860694343762687,0.383924169588297,0.368038717200021
"53",3,0,2,1,1,0.973288634448658,0.40162329217021,0.385843502767277
"54",3,0,2,1,1,0.852722150897218,0.351161109932574,0.324858895200963
"55",3,0,2,1,1,0.763901301035051,0.314312593652947,0.305276648405027
"56",3,0,2,1,1,1.01425811100435,0.459146902862887,0.437868195052097
"57",3,0,2,1,1,0.91365066280269,0.39634599472261,0.377132418896349
"58",3,0,2,1,1,0.864294269034954,0.36304972124443,0.324575897328327
"59",3,0,2,1,1,0.797989587127443,0.330916363306557,0.315400974797684
"60",3,0,2,1,1,0.900107860888078,0.364069445900303,0.351390497573518
"61",3,0,2,1,1,0.824784439165276,0.353853722322238,0.336219987132151
"62",3,0,2,1,1,0.833378334003062,0.370502190991083,0.347791541185907
"63",3,0,2,1,1,0.977445724263637,0.401371037165556,0.385483432650439
"64",3,0,2,1,1,0.806824742673917,0.341880389976999,0.333715938704597
"65",3,0,2,1,1,0.857514795106992,0.386349138203206,0.365646413576397
"66",3,0,2,1,1,0.902321105714447,0.39411367509696,0.367911432383901
"67",3,0,2,1,1,0.900423133369732,0.376782343778267,0.367947782382244
"68",3,0,2,1,1,0.852047224793808,0.403889275514461,0.383956927012409
"69",3,0,2,1,1,0.785681673043308,0.337359124285608,0.321379574186956
"70",3,0,2,1,1,0.874458802687531,0.353329704452093,0.345698463083432
"71",3,0,2,1,1,0.927208189301959,0.391996982331626,0.368053027364693
"72",3,0,2,1,1,0.846443366600356,0.382378809178247,0.352322458045543
"73",3,0,2,1,1,0.896377661224467,0.387278796893237,0.366131854676714
"74",3,0,2,1,1,0.831836295934534,0.3541279657867,0.333017554201183
"75",3,0,2,1,1,0.870315421795564,0.372176629889659,0.358935837479064
"76",3,0,2,1,1,0.858223084750313,0.355059645023816,0.330414359512575
"77",3,0,2,1,1,0.859981453671488,0.343599425948118,0.324349980307993
"78",3,0,2,1,1,0.929053314427203,0.38256066174824,0.372193288479996
"79",3,0,2,1,1,0.853974640013248,0.384311881928049,0.36449354694449
"80",3,0,2,1,1,0.824259160108386,0.349510109509257,0.328912567210734
"81",3,0,2,1,1,0.807601583540339,0.347844238319418,0.32959284689225
"82",3,0,2,1,1,0.844950209914198,0.360249511005572,0.35255590541778
"83",3,0,2,1,1,0.912673419431259,0.379038345791251,0.366842232083624
"84",3,0,2,1,1,0.786936261272076,0.313344482687913,0.298310089855271
"85",3,0,2,1,1,0.801805280359214,0.355771241770065,0.334742123983493
"86",3,0,2,1,1,0.863829773434355,0.374648018242784,0.35702312565189
"87",3,0,2,1,1,0.754354166841601,0.320236519912638,0.30653792982701
"88",3,0,2,1,1,0.910453744704284,0.36698908860341,0.342151121815716
"89",3,0,2,1,1,0.817633429657196,0.346201465347176,0.33746544203417
"90",3,0,2,1,1,0.867289425694313,0.351056218959201,0.331849526291727
"91",3,0,2,1,1,0.919491666840009,0.360313124127208,0.350454065992363
"92",3,0,2,1,1,0.899255611648261,0.352404144082789,0.338722588642588
"93",3,0,2,1,1,0.8697312537423,0.347403534132002,0.337808662255558
"94",3,0,2,1,1,0.834697449128639,0.333364140375455,0.313032943080384
"95",3,0,2,1,1,0.880268259396426,0.369663687118074,0.340331610554926
"96",3,0,2,1,1,0.819160023462435,0.333653974116213,0.312709763431177
"97",3,0,2,1,1,0.921516899732707,0.390053366966773,0.373082282868027
"98",3,0,2,1,1,0.815067849115763,0.38758790224975,0.358105627665866
"99",3,0,2,1,1,0.794221731728884,0.342635331607109,0.32601316600591
"100",3,0,2,1,1,0.872504379513659,0.384998381353561,0.36728628855956
"101",3,0,2,1,1,0.952232146104403,0.398992173964473,0.379278031144967
"102",3,0,2,1,1,0.882627676282992,0.361066376862927,0.325128708765793
"103",3,0,2,1,1,0.899170836478147,0.388788395727033,0.377491772978401
"104",3,0,2,1,1,0.851743360880801,0.33844734452745,0.322947922996585
"105",3,0,2,1,1,0.85602016357717,0.36609572594349,0.351024626393679
"106",3,0,2,1,1,0.892869282864299,0.385001818134651,0.365906343367158
"107",3,0,2,1,1,0.853093765340735,0.372576962645589,0.356258879190081
"108",3,0,2,1,1,0.927379479403948,0.426690524655648,0.407293383155827
"109",3,0,2,1,1,0.877107927009615,0.344616928640973,0.335756426647005
"110",3,0,2,1,1,0.751695670258926,0.324018016035924,0.307058487121422
"111",3,0,2,1,1,0.80618177402358,0.353106234417137,0.33887874922549
"112",3,0,2,1,1,0.706913622096897,0.277658074532826,0.260404789972837
"113",3,0,2,1,1,0.854340971009395,0.378433357511917,0.356691119028569
