"","r1_hat","d1_hat","r2_hat","d2_hat","is_correct","error1","error2","error3"
"1",3,3,2,0,1,1.05584876740101,0.452070249601419,0.369847907922574
"2",3,3,2,0,1,1.09876689805503,0.481481617391582,0.393140198165363
"3",3,3,2,0,1,0.918560626376248,0.384534921973047,0.319467325951284
"4",3,3,2,0,1,0.991647565092958,0.398928865134502,0.335092385165512
"5",3,3,2,0,1,1.08155985087973,0.439194930323646,0.364334032299366
"6",3,3,2,0,1,0.915652743636171,0.368282490501336,0.300488967947083
"7",3,3,2,0,1,0.898687681181052,0.387092707086424,0.319180856079468
"8",3,3,2,0,1,0.944495134372442,0.401384506864071,0.339583289918438
"9",3,3,2,0,1,0.990756832676014,0.426223507901415,0.367348161515179
"10",3,3,2,0,1,0.929412100747852,0.416265195045175,0.345105941263196
"11",3,3,2,0,1,1.00803883535589,0.481352146465851,0.40106848533828
"12",3,3,2,0,1,0.999083476273295,0.470208579168525,0.402230961300077
"13",3,3,2,0,1,0.980946325872629,0.408295535209598,0.324271520070441
"14",3,3,2,0,1,1.00272476552844,0.424741580331716,0.32440380456592
"15",3,3,2,0,1,0.976165416080212,0.41001665347544,0.335930500960731
"16",3,3,2,0,1,0.926743306244647,0.387311235742077,0.329474845649054
"17",3,3,2,0,1,0.981126942687866,0.422251132637285,0.350774993794334
"18",3,3,2,0,1,0.93251804427022,0.396574511075981,0.334003614079926
"19",3,3,2,0,1,1.02210699811673,0.448928541003823,0.354414587365218
"20",3,3,2,0,1,0.951982982106843,0.385866491769874,0.318701785211449
"21",3,3,2,0,1,0.892534253777549,0.373250099887009,0.300232057689424
"22",3,3,2,0,1,1.08571088580873,0.489360956206316,0.412693575044643
"23",3,3,2,0,1,0.958414798256324,0.426862392452064,0.324969616235551
"24",3,3,2,0,1,0.990799990254115,0.44735959286303,0.372655454113213
"25",3,3,2,0,1,0.983229569479429,0.459325182056573,0.363663119534677
"26",3,3,2,0,1,1.00876925386895,0.434793793359903,0.345218747322229
"27",3,3,2,0,1,0.846013060627816,0.360609187641229,0.296133568790725
"28",3,3,2,0,1,0.882217212182603,0.380735054444349,0.300968838170128
"29",3,3,2,0,1,1.04446610671277,0.438033487553063,0.370627388674874
"30",3,3,2,0,1,1.19377808643922,0.521633232178539,0.418342556747416
