"","r1_hat","d1_hat","r2_hat","d2_hat","is_correct","error1","error2","error3"
"1",3,0,2,1,1,0.62554715742694,0.363381153307049,0.343820303722661
"2",3,0,2,1,1,0.603907956875537,0.334307377335291,0.326262890872312
"3",3,0,2,1,1,0.533506764001208,0.283832274646167,0.281201757075753
"4",3,0,2,1,1,0.517795627972802,0.261981894044156,0.256512897513573
"5",3,0,2,1,1,0.549564225488681,0.307781728033302,0.302502567325246
"6",3,0,2,1,1,0.530311221891943,0.307383079634981,0.296293478448988
"7",3,0,2,1,1,0.582594525234017,0.30807440805742,0.294961455524877
"8",3,0,2,1,1,0.638764621565792,0.359286434802989,0.342538764995893
"9",3,0,2,1,1,0.522002239345787,0.289147434788956,0.281854247412879
"10",3,0,2,1,1,0.604244761525917,0.309948833207918,0.306446206802703
"11",3,0,2,1,1,0.596301147440894,0.307531377204458,0.303839435770098
"12",3,0,2,1,1,0.557242256594665,0.31098973251552,0.302615631754874
"13",3,0,2,1,1,0.561405222409739,0.316543995091574,0.300175179170311
"14",3,0,2,1,1,0.511057359349506,0.278029811087531,0.272975330353125
"15",3,0,2,1,1,0.523896316593134,0.295345186750726,0.291138131295357
"16",3,0,2,1,1,0.526247518384306,0.304519973627672,0.296210839343496
"17",3,0,2,1,1,0.583829065553161,0.322798787059797,0.316923210569803
"18",3,0,2,1,1,0.579715456670697,0.303518407530226,0.298208429315332
"19",3,0,2,1,1,0.567974992722712,0.315856547697831,0.307749907635526
"20",3,0,2,1,1,0.57737928892708,0.333942459726504,0.327524937971135
"21",3,0,2,1,1,0.553599266994182,0.288799637416511,0.278468740782331
"22",3,0,2,1,1,0.548190943245228,0.29922546303958,0.293639520005843
"23",3,0,2,1,1,0.562177473718033,0.32319987966161,0.320756910751386
"24",3,0,2,1,1,0.487863904026825,0.258990459980772,0.251251229571467
"25",3,0,2,1,1,0.546791017657087,0.270633526358358,0.26324207593491
"26",3,0,2,1,1,0.566670358167134,0.299844777959563,0.294361305251119
"27",3,0,2,1,1,0.499281080509318,0.27052510618692,0.259846012379589
"28",3,0,2,1,1,0.585202977290832,0.307974002044939,0.296987578639451
"29",3,0,2,1,1,0.553643783159801,0.296516804628439,0.285048170989955
"30",3,0,2,1,1,0.550496238814365,0.315261313498312,0.309112018429493
"31",3,0,2,1,1,0.607839320988678,0.343147489170908,0.335027479836166
"32",3,0,2,1,1,0.601212781858164,0.33283628651819,0.329278381253529
"33",3,0,2,1,1,0.638787914879928,0.35445180129015,0.344865170562563
"34",3,0,2,1,1,0.543168444047045,0.290088197672312,0.279799986507807
