"","r1_hat","d1_hat","r2_hat","d2_hat","is_correct","error1","error2","error3"
"1",3,1,2,0,1,0.539888005283156,0.291114055470501,0.271593425918997
"2",3,1,2,0,1,0.532449217344877,0.305482154433469,0.284854418163779
"3",3,1,2,0,1,0.57829409103249,0.296621941281068,0.288361251996343
"4",3,1,2,0,1,0.623644389703388,0.326750628297524,0.283366388395955
"5",3,1,2,0,1,0.498865070669138,0.274910640691196,0.265681960366041
"6",3,1,2,0,1,0.558192473710242,0.315808873324376,0.304634431291506
"7",3,1,2,0,1,0.556866111438212,0.271519254382743,0.258461468543408
"8",3,1,2,0,1,0.524599418364581,0.286702426983937,0.257829094516688
"9",3,1,2,0,1,0.525411215384686,0.296203548940049,0.27366350259975
"10",3,1,2,0,1,0.496070841436956,0.270263556606791,0.248897415879875
"11",3,1,2,0,1,0.567872291513622,0.333889250514821,0.313923838585247
"12",3,1,2,0,1,0.572879876029695,0.29018254432358,0.277249506489186
"13",3,1,2,0,1,0.574417407194662,0.32917692817395,0.320494786892714
"14",3,1,2,0,1,0.595287425118344,0.315322012332275,0.293793273541677
"15",3,1,2,0,1,0.57454681893686,0.307876828531113,0.294471477670714
"16",3,1,2,0,1,0.582664393389206,0.297064275360291,0.279879668464455
"17",3,1,2,0,1,0.520595251348766,0.284751243314999,0.265195362377314
"18",3,1,2,0,1,0.532225861052196,0.288743477619947,0.276236627107279
"19",3,1,2,0,1,0.558750990052365,0.327975221361496,0.309187624998277
"20",3,1,2,0,1,0.492769621047316,0.245634423490258,0.232473613382246
"21",3,1,2,0,1,0.602405788382033,0.305234243568924,0.292910036759027
"22",3,1,2,0,1,0.577165252385491,0.303472334464032,0.287362880508178
"23",3,1,2,0,1,0.618202451043381,0.344149084587171,0.313951063125451
"24",3,1,2,0,1,0.559704375715907,0.302140369362755,0.285558245442921
"25",3,1,2,0,1,0.598254851054406,0.332827293048577,0.317288788267986
"26",3,1,2,0,1,0.525877051415155,0.285036753021911,0.269711946650924
"27",3,1,2,0,1,0.515245244138285,0.257704155482267,0.244577420925762
"28",3,1,2,0,1,0.522817672435844,0.304240437980794,0.271973851713968
"29",3,1,2,0,1,0.538168113355925,0.265564358754247,0.259455121068767
"30",3,1,2,0,1,0.527596610866608,0.291916086339734,0.282700654753831
"31",3,1,2,0,1,0.517943185586539,0.266364282448434,0.242269712310203
"32",3,1,2,0,1,0.533416075082049,0.272091542576805,0.263021900362547
"33",3,1,2,0,1,0.542479234297867,0.299868168120298,0.289110626797994
"34",3,1,2,0,1,0.535961262251544,0.29237299017529,0.269704080016719
"35",3,1,2,0,1,0.551694574807005,0.302605300774783,0.286466704762296
"36",3,1,2,0,1,0.617722027915018,0.328554548930673,0.307443787505669
"37",3,1,2,0,1,0.585723017563713,0.3543642823463,0.322088158818452
"38",3,1,2,0,1,0.550307788813694,0.300562432659248,0.27179707175681
"39",3,1,2,0,1,0.511341281281778,0.248224346064882,0.235076423545067
"40",3,1,2,0,1,0.536575794425186,0.312367977610865,0.293730283724017
"41",3,1,2,0,1,0.532218204338335,0.279463412351278,0.254930047791968
"42",3,1,2,0,1,0.599781812779652,0.298281186660092,0.283719425388008
"43",3,1,2,0,1,0.570940493827047,0.30464452101666,0.286749257665886
"44",3,1,2,0,1,0.484795641619107,0.249121944727679,0.222432630546143
"45",3,1,2,0,1,0.582688582040398,0.328853154740788,0.302650065403281
"46",3,1,2,0,1,0.516751470461536,0.280554705589875,0.262193039465052
"47",3,1,2,0,1,0.515784765141879,0.258943073531666,0.239942901054984
"48",3,1,2,0,1,0.509595323067207,0.280038153944023,0.264489928696222
"49",3,1,2,0,1,0.571991155215579,0.308143794334374,0.284775079510784
"50",3,1,2,0,1,0.567790699833493,0.292181556823071,0.264970756986229
"51",3,1,2,0,1,0.583322308553489,0.318101890145375,0.294971351659246
"52",3,1,2,0,1,0.571904618389993,0.326589985610006,0.315283602767034
"53",3,1,2,0,1,0.499012375094161,0.258917594594326,0.24485173565279
"54",3,1,2,0,1,0.522724452190137,0.285937171827951,0.275949132111134
"55",3,1,2,0,1,0.506556214487696,0.278102510176428,0.27087961211958
"56",3,1,2,0,1,0.507534399453326,0.264537522419726,0.246370992876551
"57",3,1,2,0,1,0.531216087637088,0.296634897049663,0.286914626360643
"58",3,1,2,0,1,0.52924576870718,0.30146515956726,0.281005280172932
"59",3,1,2,0,1,0.59559129747044,0.306886547803401,0.294807119037836
"60",3,1,2,0,1,0.670844967577609,0.352836201205307,0.328543852661918
"61",3,1,2,0,1,0.58926515254075,0.330038959970402,0.314813266649153
"62",3,1,2,0,1,0.630009096564051,0.31899186040193,0.287825880334788
"63",3,1,2,0,1,0.521763825514856,0.300830200212843,0.286277708124189
"64",3,1,2,0,1,0.593599195586474,0.337418720212188,0.322629789875426
"65",3,1,2,0,1,0.556813638447891,0.324507304487102,0.314065825798205
"66",3,1,2,0,1,0.524180714646175,0.28484045349408,0.27716419821638
"67",3,1,2,0,1,0.643272414445964,0.366489467480804,0.358632404338619
"68",3,1,2,0,1,0.592982681974804,0.292860757943217,0.277148833692111
"69",3,1,2,0,1,0.57423541380933,0.313294501319785,0.297994443273831
"70",3,1,2,0,1,0.593584720910472,0.328057089374639,0.315526919887285
"71",3,1,2,0,1,0.548465445308671,0.295182086193517,0.283449865768117
"72",3,1,2,0,1,0.59674307853055,0.340368026716795,0.323080624265949
"73",3,1,2,0,1,0.578186300760756,0.336874509571483,0.315941093710126
"74",3,1,2,0,1,0.529163241007579,0.279168816920692,0.264849356211304
"75",3,1,2,0,1,0.591944780324558,0.304944252088392,0.289403282793085
"76",3,1,2,0,1,0.584287959640871,0.304032976840779,0.294942889461082
"77",3,1,2,0,1,0.615016640973219,0.349199143688603,0.330564533549026
"78",3,1,2,0,1,0.575640235901938,0.310598583080421,0.300215675791396
"79",3,1,2,0,1,0.602363464892106,0.328296300043159,0.321416151780126
"80",3,1,2,0,1,0.51800506733278,0.279141213547064,0.258810600389231
"81",3,1,2,0,1,0.528485121878933,0.302745795487547,0.277666117776565
"82",3,1,2,0,1,0.517081522120881,0.270551219451843,0.254500371518205
"83",3,1,2,0,1,0.519078738968686,0.276161895316473,0.26025799831179
