"","r1_hat","d1_hat","r2_hat","d2_hat","is_correct","error1","error2","error3"
"1",3,3,2,2,1,0.746938332469082,0.372284189702442,0.262440747226576
"2",3,3,2,2,1,0.751490853730071,0.360551472913901,0.22321876994137
"3",3,3,2,2,1,0.705889766597811,0.307140379572384,0.199605583002714
"4",3,3,2,2,1,0.589636863097955,0.255683427589949,0.135363173201233
"5",3,3,2,2,1,0.680649562625384,0.301567987141895,0.206225092633592
"6",3,3,2,2,1,0.826035193046411,0.403978119127796,0.285947030298567
"7",3,3,2,2,1,0.666316520078509,0.282539674090663,0.187017187039273
"8",3,3,2,2,1,0.678070678761177,0.313641123940516,0.192558306402014
"9",3,3,2,2,1,0.575700218675378,0.239746066753328,0.10060730488
"10",3,3,2,2,1,0.738040660846505,0.300524870530361,0.18882465402068
"11",3,3,2,2,1,0.621394977265512,0.302345407591255,0.15249943389574
"12",3,3,2,2,1,0.681401501651995,0.301958823778273,0.205322994617187
"13",3,3,2,2,1,0.697545175655402,0.337999561565994,0.197127476281421
"14",3,3,2,2,1,0.682261329599387,0.307557815919399,0.172199649804621
"15",3,3,2,2,1,0.698268487873794,0.350825797145976,0.227534034203556
"16",3,3,2,2,1,0.644077892547796,0.285677309043473,0.180621014394096
"17",3,3,2,2,1,0.648902170015123,0.298593260797347,0.176732977616131
"18",3,3,2,2,1,0.670234340235226,0.309206066101025,0.19348753918012
"19",3,3,2,2,1,0.709197020326048,0.317224154912543,0.193504875385494
"20",3,3,2,2,1,0.689595713751183,0.335932736696254,0.210873952602794
"21",3,3,2,2,1,0.725349240753927,0.35311112490027,0.204089830092661
"22",3,3,2,2,1,0.570407268121503,0.233423455528034,0.11050591581116
"23",3,3,2,2,1,0.748270283714221,0.331906282580657,0.251114759655093
"24",3,3,2,2,1,0.784848324895789,0.396428232258259,0.287360648072681
"25",3,3,2,2,1,0.621023138440335,0.264896451173712,0.166106467686447
"26",3,3,2,2,1,0.761968146618167,0.352389717402735,0.248623525160767
"27",3,3,2,2,1,0.632953336763543,0.272583619993461,0.174081289237907
"28",3,3,2,2,1,0.596735512304731,0.291710756703708,0.150212616289002
"29",3,3,2,2,1,0.732948280275215,0.35398320125879,0.234936471589569
"30",3,3,2,2,1,0.771822647914506,0.420153258665016,0.264926585162915
"31",3,3,2,2,1,0.660178927874966,0.325873167430433,0.202333280711058
"32",3,3,2,2,1,0.717136551550721,0.376878993945571,0.273820707240983
"33",3,3,2,2,1,0.801256977281326,0.414712901640925,0.29116561969386
"34",3,3,2,2,1,0.849330478869643,0.450813198582917,0.259109828241805
"35",3,3,2,2,1,0.704916235770989,0.374117728886205,0.220258400131609
"36",3,3,2,2,1,0.669467397739052,0.314463518663466,0.200014684577264
"37",3,3,2,2,1,0.693158064042892,0.340554592783634,0.213192532776527
"38",3,3,2,2,1,0.668368134093432,0.282404153930225,0.159402483600026
"39",3,3,2,2,1,0.746840111959315,0.370598557987896,0.239184665808313
"40",3,3,2,2,1,0.64818780367162,0.374127550260449,0.212832606534422
"41",3,3,2,2,1,0.669994267552557,0.290482692024209,0.192090298364607
"42",3,3,2,2,1,0.71391889370666,0.320957297558535,0.230809950974396
"43",3,3,2,2,1,0.607925845350487,0.257918602074166,0.16077151474995
"44",3,3,2,2,1,0.733387491042611,0.376161203959289,0.221803613733243
"45",3,3,2,2,1,0.760650231244679,0.352448191150946,0.267654219292548
"46",3,3,2,2,1,0.691902983784286,0.342890085137525,0.189676441539739
"47",3,3,2,2,1,0.658187457960717,0.324441609617664,0.2104126444119
"48",3,3,2,2,1,0.729874560712836,0.33782241100428,0.230230969043896
"49",3,3,2,2,1,0.670584228594984,0.291795941763652,0.181550575576556
"50",3,3,2,2,1,0.699098030951144,0.361143608098108,0.223697842622184
"51",3,3,2,2,1,0.583277985322985,0.2611737263617,0.139411655802748
"52",3,3,2,2,1,0.723588591210651,0.37648890293316,0.288036117978719
"53",3,3,2,2,1,0.692620606927763,0.305310955259688,0.171101298825424
"54",3,3,2,2,1,0.613907989413901,0.280267163110727,0.162870176543336
"55",3,3,2,2,1,0.674854454368367,0.373691114465099,0.229080376761037
"56",3,3,2,2,1,0.774867787712173,0.390622839853627,0.276331142690565
"57",3,3,2,2,1,0.678166214043568,0.321300970281477,0.163362442609313
"58",3,3,2,2,1,0.745749830864158,0.332982167525802,0.214838194864226
"59",3,3,2,2,1,0.666407923265965,0.341111505004791,0.193233463807244
"60",3,3,2,2,1,0.639938497015699,0.282879730831758,0.184674732355162
"61",3,3,2,2,1,0.616226002174544,0.222501213883663,0.144027235774145
"62",3,3,2,2,1,0.707136332670104,0.374258862051484,0.251225251649493
"63",3,3,2,2,1,0.645403120529985,0.304539872651872,0.199753389979694
"64",3,3,2,2,1,0.648702696916112,0.306504030228449,0.185116107819732
"65",3,3,2,2,1,0.704892406444973,0.313379292298095,0.215787320165457
"66",3,3,2,2,1,0.704955201098068,0.34734152784128,0.215911886672574
"67",3,3,2,2,1,0.717402948449365,0.313289715231141,0.189081411202813
"68",3,3,2,2,1,0.638039436095308,0.252894969316428,0.140114281289994
"69",3,3,2,2,1,0.707077812241165,0.35791261001533,0.235823992335689
"70",3,3,2,2,1,0.661965080515178,0.351769496155914,0.179257423425692
"71",3,3,2,2,1,0.764282679205632,0.388505335551323,0.288115212889179
"72",3,3,2,2,1,0.695837311298041,0.318765735248363,0.206591537727508
"73",3,3,2,2,1,0.669841893362096,0.33915825175686,0.218061060328905
"74",3,3,2,2,1,0.771542228476653,0.366016103202235,0.268092984621765
"75",3,3,2,2,1,0.710864223890634,0.327796052726764,0.184595432474365
"76",3,3,2,2,1,0.757728857530425,0.421636793042985,0.298066656653203
"77",3,3,2,2,1,0.726049339717733,0.3934042268536,0.241981123679425
"78",3,3,2,2,1,0.672626020774416,0.311725896044845,0.200031100538808
"79",3,3,2,2,1,0.683468959676658,0.33906040602169,0.222070094525448
"80",3,3,2,2,1,0.660688979913763,0.303348549458823,0.152773475153817
"81",3,3,2,2,1,0.601692367082182,0.299763736220711,0.127745361205484
"82",3,3,2,2,1,0.616820408624371,0.264832068491457,0.147219224139117
"83",3,3,2,2,1,0.639940008219405,0.300135323155038,0.151719233443781
"84",3,3,2,1,0,0.53955320290187,0.216921315815779,0.123093528997274
"85",3,3,2,2,1,0.806979248836174,0.391890170867975,0.245826099287286
"86",3,3,2,2,1,0.610206821973989,0.273711051666188,0.162541789995042
"87",3,3,2,2,1,0.692369839227058,0.322701000443182,0.202213961769454
"88",3,3,2,2,1,0.689485665064848,0.317971370151235,0.192419031536414
"89",3,3,2,2,1,0.679077730346438,0.3043349532514,0.161470183158285
"90",3,3,2,2,1,0.670653803669821,0.309691849857004,0.19733308842435
"91",3,3,2,2,1,0.705955253243657,0.325112708810638,0.205630429647645
"92",3,3,2,2,1,0.690198291934712,0.329652310646884,0.194680915716702
"93",3,3,2,2,1,0.614803600356459,0.23687404870748,0.131218637016316
"94",3,3,2,2,1,0.640372513474162,0.299939955432198,0.187527477972689
"95",3,3,2,2,1,0.741930529773867,0.357342854312373,0.230132087997405
"96",3,3,2,2,1,0.748986101069239,0.38485599611885,0.238797562777324
"97",3,3,2,2,1,0.784365084456247,0.358420278154274,0.239741853670323
"98",3,3,2,2,1,0.626703811670928,0.241424071544647,0.14308415884902
"99",3,3,2,2,1,0.667580971819855,0.343558701277276,0.233148965484053
"100",3,3,2,2,1,0.679681606484106,0.3126409111763,0.213114293087583
"101",3,3,2,2,1,0.651852188724958,0.31063891877458,0.221559353584126
"102",3,3,2,2,1,0.76259253177045,0.336502874519223,0.211337193600171
"103",3,3,2,2,1,0.774445595760209,0.40020092816705,0.253925141730051
"104",3,3,2,2,1,0.810757992282687,0.423844879557769,0.262984261096527
"105",3,3,2,2,1,0.764483086319053,0.36784162766168,0.246532450922811
"106",3,3,2,2,1,0.701359801619493,0.32124815648998,0.226001588297276
"107",3,3,2,2,1,0.683977718048743,0.318200328597839,0.208964753283363
"108",3,3,2,2,1,0.752227965549126,0.344107892280087,0.209581548856827
"109",3,3,2,2,1,0.671005849160957,0.325257151795615,0.197098190665913
"110",3,3,2,2,1,0.784593492242407,0.394793739587163,0.266389605289521
"111",3,3,2,2,1,0.607724550840706,0.283159333336361,0.188202987381681
"112",3,3,2,2,1,0.759033136190398,0.387833276852343,0.265746426435331
"113",3,3,2,2,1,0.716199345471883,0.375870254419728,0.252068167329025
