"","r1","d1","r2","d2","correct","TS_rank1","TS_rank2","L1_TStrue","L2_TStrue","L1_TSfalse","L2_TSfalse","L1_MARwCF","L2_MARwCF"
"1",1,1,2,2,1,1,1,0.0985775231359034,0.185044115416717,0.161022835149767,1.00866663641711,0.0904287052468711,0.170252898864964
"2",1,1,2,2,1,1,1,0.162482979575911,0.26435925491323,0.198397495582679,1.02378402918443,0.0900763558703995,0.217579174026854
"3",1,1,2,2,1,1,1,0.15138418405972,0.197151170557775,0.244361955556434,1.00630997009238,0.0757758904393744,0.171172000132301
"4",1,1,2,2,1,1,1,0.0784153358212008,0.194147459053251,0.112181339846186,1.00840955130793,0.0642095469130349,0.154852426284199
"5",1,1,2,2,1,1,1,0.0708414385061057,0.10848800598434,0.090826412827174,1.00180874000089,0.0704911525974894,0.10645047558155
"6",1,1,2,2,1,1,1,0.0884363714975046,0.1613116697946,0.128959650036164,1.00813853124192,0.0540882773210565,0.166844728775084
"7",1,1,2,2,1,1,1,0.0476006768896912,0.115929379031039,0.06631892778094,1.00257270001019,0.0543657529205265,0.101721395375045
"8",1,1,2,2,1,1,1,0.113904175546586,0.192377053946152,0.12315571281273,1.00704894671244,0.107431678040337,0.191067616331991
"9",1,1,2,2,1,1,1,0.12597620118824,0.152667860455276,0.181718168738242,1.0061232304559,0.0884554870585818,0.138387371484862
"10",1,1,2,2,1,1,1,0.149157094557896,0.168496452864204,0.174317020810814,1.00497330334948,0.0778669562819903,0.164595958302622
"11",1,1,2,2,1,1,1,0.0767850655595379,0.200560170717025,0.129571357515321,1.01081002561729,0.0859197309988776,0.158910333312043
"12",1,1,2,2,1,1,1,0.0699151307551262,0.147350960786727,0.0973112747749185,1.00309646894057,0.0611828539158773,0.13924159160755
"13",1,1,2,2,1,1,1,0.114103026411986,0.18405424908398,0.161790413266526,1.00531187636675,0.0862385407255864,0.18242902816775
"14",1,1,2,2,1,1,1,0.15160399517551,0.296367320145997,0.18281301773329,1.02409438195692,0.107142587564372,0.252018082672359
"15",1,1,2,2,1,1,1,0.12144349999704,0.219358670539103,0.169898988028566,1.01195628322058,0.0983846522469734,0.180265778885297
"16",1,1,2,2,1,1,1,0.069983520575468,0.260268502063741,0.0758750164421001,1.00575033145058,0.0575833475584006,0.192437531041415
"17",1,1,2,2,1,1,1,0.149723665589474,0.186343525352945,0.198737664821624,1.00672686285801,0.0731104669335146,0.175473041037997
"18",1,1,2,2,1,1,1,0.0986474187459546,0.289688656098372,0.160350913432645,1.01363822040045,0.13048887877409,0.211031666903212
"19",1,1,2,2,1,1,1,0.0810341993872137,0.188596568057571,0.131302998590452,1.00778070989211,0.0765411886256985,0.188113158578599
"20",1,1,2,2,1,1,1,0.17545458697584,0.238558820621878,0.198472984268857,1.01229613229867,0.120596823007391,0.211808634705048
"21",1,1,2,2,1,1,1,0.087538778059321,0.209883546872952,0.152932936335296,1.01350777619701,0.0874906576981672,0.170822218007863
"22",1,1,2,2,1,1,1,0.109516071255106,0.138505119093277,0.125947246231866,1.00518725948928,0.0436037274198538,0.11736544661744
"23",1,1,2,2,1,1,1,0.0854016570472544,0.227364893691879,0.155688455393853,1.01134024013516,0.0620405417518835,0.209147695002889
"24",1,1,2,2,1,1,1,0.0762232654534087,0.191316725789573,0.117145086550301,1.00897465306171,0.0775475106835065,0.143756726519614
"25",1,1,2,2,1,1,1,0.140067114221909,0.204539712894062,0.142408350020173,1.01446137855053,0.0832782312164354,0.166370225345245
"26",1,1,2,2,1,1,1,0.248961722448638,0.30588983744146,0.265768852414522,1.01692833278942,0.123015584598874,0.236611248616717
"27",1,1,2,2,1,1,1,0.148018212709788,0.254177289935958,0.165025422989687,1.01193225524083,0.0958527563744276,0.224900206700411
"28",1,1,2,2,1,1,1,0.141214628069208,0.256704660002707,0.145496096174772,1.01451458911589,0.0559249203457134,0.248603828272652
"29",1,1,2,2,1,1,1,0.121851212901784,0.201003224305349,0.132231307794097,1.01013204846778,0.0810601321620969,0.173167723553775
