,r1,d1,r2,d2,correct,TS_rank1,TS_rank2,L1_TStrue,L2_TStrue,L1_TSfalse,L2_TSfalse,L1_MARwCF,L2_MARwCF
192,1,1,1,1,1,1,1,0.11549517,0.106929687,0.11549517,0.106929687,0.103715491,0.108407778
193,1,1,1,1,1,1,1,0.069863884,0.05090186,0.069863884,0.05090186,0.068452327,0.048853887
194,1,1,1,1,1,1,1,0.161869893,0.235578201,0.161869893,0.235578201,0.127644191,0.164990042
195,1,1,1,1,1,1,1,0.133793527,0.147075743,0.133793527,0.147075743,0.148220066,0.137086166
196,1,1,1,1,1,1,1,0.107902953,0.059026226,0.107902953,0.059026226,0.101736027,0.071430369
197,1,1,1,1,1,1,1,0.039994975,0.052455216,0.039994975,0.052455216,0.038025039,0.052211497
198,1,1,1,1,1,1,1,0.148217016,0.099926727,0.148217016,0.099926727,0.114442339,0.090126918
199,1,1,1,1,1,1,1,0.097956833,0.087184285,0.097956833,0.087184285,0.097209632,0.06624456
200,1,1,1,1,1,1,1,0.049103919,0.068122273,0.049103919,0.068122273,0.048562686,0.06325256
201,6,6,2,2,0,1,1,0.157124914,0.204530907,0.157124914,0.204530907,2.437772121,1.718547449
202,2,2,7,7,0,1,1,0.23044115,0.208039045,0.23044115,0.208039045,1.0423486,2.458121003
203,1,1,1,1,1,1,1,0.095332829,0.091465069,0.095332829,0.091465069,0.086801824,0.079565527
204,1,1,1,1,1,1,1,0.165791169,0.185181545,0.165791169,0.185181545,0.12667308,0.18920349
205,1,1,1,1,1,1,1,0.122505149,0.161693383,0.122505149,0.161693383,0.143797478,0.145660314
206,3,3,5,5,0,1,1,0.220158354,0.219968949,0.220158354,0.219968949,1.484093393,2.067986183
207,1,1,1,1,1,1,1,0.155888671,0.174284392,0.155888671,0.174284392,0.127148566,0.149691621
208,1,1,1,1,1,1,1,0.199467707,0.211968932,0.199467707,0.211968932,0.15926435,0.177196102
209,5,5,2,2,0,1,1,0.173987946,0.20033211,0.173987946,0.20033211,2.065067596,1.120425468
