"","r1","d1","r2","d2","correct","TS_rank1","TS_rank2","L1_TStrue","L2_TStrue","L1_TSfalse","L2_TSfalse","L1_MARwCF","L2_MARwCF"
"1",3,3,2,2,1,1,1,0.208880855346,0.188660198930968,1.41975563703418,1.00583898093234,0.152422717952374,0.111115547534704
"2",3,3,2,2,1,1,1,0.216318851307855,0.380328535584693,1.42009358908354,1.01606058398415,0.104039691390016,0.0940434719286797
"3",3,3,2,2,1,1,1,0.119543482180246,0.902408042154626,1.41622252822263,1.00427745172922,0.0954145505106257,0.0800884217628534
"4",3,3,2,2,1,1,1,0.221021764945208,1.09066630451545,1.4167752612731,1.00623752111686,0.117913682957078,0.0875735724114936
"5",3,3,2,2,1,1,1,0.338557063002498,1.52373290382598,1.42577351306479,1.03198810775123,0.136401926958094,0.0694137742465331
"6",3,3,2,2,1,1,1,0.239385347118354,0.216372836446118,1.4192430399539,1.07262956363016,0.149489558746583,0.104348712327258
"7",3,3,2,2,1,1,1,0.156002423958073,0.118310569090501,1.41978793009906,1.00774436700334,0.146429620562692,0.0848649985209099
"8",3,3,2,2,1,1,1,0.432398177138024,0.579550260169314,1.54286345639438,1.64960454052825,0.219809818965865,0.125032933630231
"9",3,3,2,2,1,1,1,0.134256156635259,0.458977518263889,1.41681718751747,1.01017340353775,0.113958759470807,0.0818733211136975
"10",3,3,2,2,1,1,1,0.250001995911964,0.521192489382487,1.43488412757459,1.16274129142642,0.170121059257632,0.106656356879262
"11",3,3,2,2,1,1,1,0.187527426457111,0.138454950559754,1.42388850759,1.015064039877,0.146566663863482,0.112092893929886
"12",3,3,2,2,1,1,1,0.114665785471321,0.27354137080833,1.41625166075116,1.00214020289063,0.102564628604459,0.0696205094660083
"13",3,3,2,2,1,1,1,0.21203197252758,1.02031707390037,1.4194696963255,1.00911298560298,0.130774101762712,0.111991941569542
"14",3,3,2,2,1,1,1,0.691870766541786,1.00852630624262,1.45803758527183,1.00965536908738,0.166925946066916,0.0889119319265888
"15",3,3,2,2,1,1,1,0.137830867534806,1.00171182617971,1.41629840300965,1.00189604854241,0.0850242500448604,0.0660379949113864
"16",3,3,2,2,1,1,1,0.105488319581693,0.331254780724093,1.41624340907744,1.00117195050992,0.0903531140338557,0.0603477435097587
"17",3,3,2,2,1,1,1,0.362910234858319,0.588572768758531,1.47978482085303,1.10644024571149,0.168597124905952,0.10479252553948
"18",3,3,2,2,1,1,1,0.826229189364661,0.790572686777328,1.45722236726334,1.05871354537346,0.104145401105474,0.0603108208038862
"19",3,3,2,2,1,1,1,0.33153593999079,1.33030934248555,1.42381217483209,1.06906852996666,0.143396764923476,0.101109511539868
"20",3,3,2,2,1,1,1,0.210700132037496,0.112242502913526,1.41806839084911,1.01859651422647,0.123724458224813,0.0843673734616125
"21",3,3,2,2,1,1,1,1.33914550254027,1.78184612571782,1.43631424743335,1.03685962071803,0.151807646479149,0.130138851553471
"22",3,3,2,2,1,1,1,0.299621080629445,0.243537907227038,1.43720340324517,1.01863864384439,0.229507438815209,0.123719563832841
"23",3,3,2,2,1,1,1,0.132101451064544,0.106003973269305,1.41604269148322,1.00416294884733,0.121830101254922,0.083843314725637
"24",3,3,2,2,1,1,1,0.203983021718587,0.188837209103176,1.42360980566763,1.03702446913152,0.120336481658917,0.101481226962437
"25",3,3,2,2,1,1,1,0.211939367735403,0.717003348119646,1.42128601581898,1.17262957826756,0.144106803354455,0.111068152039099
"26",3,3,2,2,1,1,1,0.159530159475777,1.00212896340967,1.41833788737123,1.07863617901557,0.0858283148014041,0.0991606735525568
"27",3,3,2,2,1,1,1,0.251528509600662,0.404085223979606,1.43194895146778,1.18535586531786,0.172103159356642,0.103646306807526
