"","r1","d1","r2","d2","correct","TS_rank1","TS_rank2","L1_TStrue","L2_TStrue","L1_TSfalse","L2_TSfalse","L1_MARwCF","L2_MARwCF"
"1",4,4,1,1,1,1,1,0.225364345918733,0.110133868001374,1.73735172310362,0.0718629159593366,0.20344422695633,0.0504326879117731
"2",4,4,1,1,1,1,1,0.320897932305001,0.37884217026832,1.73671685120824,0.26028889738322,0.237611116462927,0.0648793169863108
"3",4,4,1,1,1,1,1,0.257968595776727,0.213387613731971,1.73611154080286,0.171932407963356,0.225666849407779,0.0573898685793235
"4",4,4,1,1,1,1,1,0.511273023715565,1.07128169569557,1.73574581762834,0.248365588024501,0.233569756303832,0.0741192995032964
"5",4,4,1,1,1,1,1,0.3052227632093,0.165147189281626,1.73768069928112,0.0951885033646682,0.278381593956924,0.0737075790379517
"6",4,4,1,1,1,1,1,0.270503847995324,0.141440504648393,1.73488526051279,0.406992098241073,0.249365466754546,0.0579746917424308
"7",4,4,1,1,1,1,1,0.247280297809038,0.173192206386028,1.73397948442742,0.182154394746185,0.223113509536068,0.0651539764876525
"8",4,4,1,1,1,1,1,0.303935160593802,0.212788326627705,1.73765378557734,0.278938288493519,0.264061066452801,0.0696696693239143
"9",4,4,1,1,1,1,1,0.153345647488188,0.120230547315872,1.73484574396763,0.545248928438608,0.141200512849115,0.041895483330974
"10",4,4,1,1,1,1,1,0.218750760843346,0.586830212969552,1.7333112646475,0.190313349224924,0.198825354488172,0.0462856494043797
"11",4,4,1,1,1,1,1,0.372205603935834,0.244334349632983,1.74198377158923,0.213954771849487,0.311649588247331,0.0786129444319931
"12",4,4,1,1,1,1,1,0.193057096012207,0.445268098861044,1.73326065279458,0.184036571106956,0.170424996180908,0.0412794628430641
"13",4,4,1,1,1,1,1,0.254665329274899,0.166658874199447,1.73345817743336,0.0923202615811756,0.236606249900952,0.0536645777570745
"14",4,4,1,1,1,1,1,0.37878000986427,0.278825334453118,1.74790354122227,0.691461008122039,0.282770509537744,0.0716298013708898
"15",4,4,1,1,1,1,1,0.25295300626047,0.128790287888412,1.7367410015277,0.329322112268289,0.236002380103823,0.0458587394685791
"16",4,4,1,1,1,1,1,0.497381569635082,0.725473781099112,1.74310399475208,0.361048774168177,0.26640219484465,0.0625449347768722
"17",4,4,1,1,1,1,1,0.368396736658414,0.279859851631798,1.74110771808656,0.253341659336022,0.260268914321366,0.0772131853080221
"18",4,4,1,1,1,1,1,0.270346919056588,0.413898770016336,1.73650052365885,0.271795461491564,0.213507562699126,0.0777503112320005
"19",4,4,1,1,1,1,1,0.65510697765559,1.06565187573301,1.74131540934521,0.222951151051772,0.258876602150918,0.0610286280141795
"20",4,4,1,1,1,1,1,0.395842821854771,0.728797477996126,1.73562730023586,0.182600318771354,0.215204352888977,0.0670407929286948
"21",4,4,1,1,1,1,1,0.275791922773758,0.278368136650765,1.73679842424278,0.488803487333014,0.258282347965264,0.0716023139624588
"22",4,3,1,1,0,1,1,0.128299405909174,0.14009028338992,1.73323852849066,0.0984411150422788,1.00530932809102,0.0297019364817574
"23",4,4,1,1,1,1,1,2.22255714284438,1.4031774793552,1.73848035325864,0.3520242818888,0.321451140729262,0.112968176625938
"24",4,4,1,1,1,1,1,0.276252209387221,0.546026956579221,1.7363222184144,0.174504741979538,0.227796539831799,0.0577740674044707
"25",4,4,1,1,1,1,1,0.497162928994588,1.01477162839275,1.73600884016356,0.156398516366099,0.198516588480177,0.0586204426985849
"26",4,4,1,1,1,1,1,0.348269702843939,0.907108001529884,1.73631561836724,0.197718742152325,0.218863822577316,0.0546220906175488
"27",4,4,1,1,1,1,1,0.290447659776727,0.827649558627033,1.73451388013356,0.0678419955238461,0.184288244864302,0.0546786659398421
"28",4,4,1,1,1,1,1,0.463467930073175,0.895160098040483,1.73963028445457,0.251905912437992,0.285011359346563,0.0614479630046787
"29",4,4,1,1,1,1,1,0.220205054897088,0.485630082128802,1.73328449826027,0.216829110219735,0.216746821351276,0.0491887147558146
"30",4,4,1,1,1,1,1,0.153492725335417,0.393990117774904,1.7329735649552,0.092975428338505,0.124958704174162,0.0288702579755165
"31",4,4,1,1,1,1,1,0.235458699676725,0.612932707030231,1.73513205302128,0.113072602567646,0.188951879952951,0.0425412538254294
"32",4,4,1,1,1,1,1,0.25962924688101,0.306436370732625,1.73437801586776,0.356544329558954,0.212989432668863,0.0690527294433358
"33",4,4,1,1,1,1,1,0.23100544892229,0.651987013275195,1.73491210081774,0.183075563966551,0.197415727462153,0.0353180880036602
"34",4,4,1,1,1,1,1,0.276214541249789,0.608721519934517,1.73517819636129,0.339476254907553,0.229621371622843,0.0495803680099167
"35",4,4,1,1,1,1,1,0.260367373294258,0.413476453687202,1.73645663506241,0.31254408953196,0.222949339252458,0.0551305721343051
"36",4,4,1,1,1,1,1,0.314533543847403,0.217517572917706,1.73492448969233,0.233860561603197,0.292166132906729,0.0762794153417365
"37",4,4,1,1,1,1,1,0.314745485736044,0.533912841076989,1.73515890576966,0.199089397713923,0.228466611490083,0.0772321791578556
"38",4,4,1,1,1,1,1,0.215495197398965,0.149109345851285,1.73425017596372,0.154418752050458,0.174204740056871,0.0492227711843305
